stamp,msg
2019-10-03T08:17:39.735331-04:00,Server booted up
2019-10-03T08:20:19.582733-04:00,Server booted up
2019-10-03T08:43:12.179317-04:00,Server booted up
2019-10-03T12:12:22.814728-04:00,Server booted up
